Date,Price,Open,High,Low,Chg%
05-May-22,"62,684","62,800","64,543","62,511",0.34%
04-May-22,"62,473","63,200","63,354","62,277",-1.44%
03-May-22,"63,387","63,479","63,825","62,861",0.15%
02-May-22,"63,289","64,400","64,400","62,400",-2.25%
29-Apr-22,"64,748","64,360","64,922","64,214",1.17%
28-Apr-22,"64,001","64,320","64,410","63,738",-1.30%
27-Apr-22,"64,847","65,249","65,505","64,670",-0.63%
26-Apr-22,"65,258","65,772","65,853","65,150",-0.17%
25-Apr-22,"65,369","66,000","66,200","64,945",-2.02%
22-Apr-22,"66,720","67,299","67,450","66,366",-0.85%
21-Apr-22,"67,294","68,125","68,400","67,080",-1.77%
20-Apr-22,"68,505","68,718","68,777","68,101",-0.52%
19-Apr-22,"68,861","69,980","70,440","68,612",-1.69%
18-Apr-22,"70,048","69,200","70,741","69,200",1.39%
14-Apr-22,"69,088","69,324","69,490","68,625",-0.58%
13-Apr-22,"69,494","68,801","69,600","68,801",0.90%
12-Apr-22,"68,875","68,250","69,039","67,750",2.07%
11-Apr-22,"67,481","67,235","68,550","67,065",0.49%
08-Apr-22,"67,149","66,818","67,243","66,591",0.31%
07-Apr-22,"66,939","66,500","66,993","66,385",0.61%
06-Apr-22,"66,531","66,439","66,845","66,100",0.15%
05-Apr-22,"66,434","66,598","67,300","66,260",-0.14%
04-Apr-22,"66,529","67,000","67,268","66,220",-0.63%
01-Apr-22,"66,952","67,627","67,627","66,763",-1.05%
31-Mar-22,"67,660","67,276","68,030","66,750",0.09%
30-Mar-22,"67,598","67,131","67,945","66,769",0.70%
29-Mar-22,"67,131","68,071","68,158","65,565",-1.69%
28-Mar-22,"68,282","68,750","68,750","68,001",-0.99%
25-Mar-22,"68,966","69,511","69,649","68,700",-0.62%
24-Mar-22,"69,399","68,450","69,749","68,256",1.45%
23-Mar-22,"68,409","67,998","68,574","67,623",0.80%
22-Mar-22,"67,866","68,800","69,198","67,360",-0.95%
21-Mar-22,"68,520","68,158","68,780","68,043",0.66%
18-Mar-22,"68,070","68,719","68,719","67,850",-0.80%
17-Mar-22,"68,619","67,993","69,270","67,993",1.65%
16-Mar-22,"67,502","68,244","68,340","67,310",-1.41%
15-Mar-22,"68,467","68,800","68,800","67,800",-0.76%
14-Mar-22,"68,988","70,200","70,385","68,626",-2.02%
11-Mar-22,"70,412","70,150","70,699","69,333",-0.11%
10-Mar-22,"70,493","69,267","70,817","68,975",1.17%
09-Mar-22,"69,676","71,800","73,244","69,425",-2.47%
08-Mar-22,"71,442","70,035","72,850","69,968",1.94%
07-Mar-22,"70,080","69,600","71,340","69,400",1.15%
04-Mar-22,"69,286","68,206","69,450","68,206",1.82%
03-Mar-22,"68,047","67,966","68,890","67,852",0.32%
02-Mar-22,"67,831","67,680","68,390","67,472",-0.66%
01-Mar-22,"68,282","66,400","68,555","66,400",4.10%
28-Feb-22,"65,595","65,499","65,978","65,000",1.75%
25-Feb-22,"64,469","65,603","67,445","64,350",-3.13%
24-Feb-22,"66,550","65,778","68,814","65,777",2.40%
23-Feb-22,"64,992","64,436","65,501","64,141",0.86%
22-Feb-22,"64,441","63,950","64,700","63,950",1.15%
21-Feb-22,"63,706","63,811","63,935","63,425",-0.47%
18-Feb-22,"64,008","64,000","64,349","63,531",-0.01%
17-Feb-22,"64,012","63,398","64,164","63,100",0.87%
16-Feb-22,"63,461","63,105","63,636","62,960",0.45%
15-Feb-22,"63,174","64,613","64,762","62,745",-1.89%
14-Feb-22,"64,389","63,236","64,665","63,200",1.93%
11-Feb-22,"63,169","63,251","63,251","62,080",-0.47%
10-Feb-22,"63,465","62,850","63,761","62,720",0.88%
09-Feb-22,"62,910","62,675","62,991","62,520",0.46%
08-Feb-22,"62,623","62,060","62,725","61,826",0.52%
07-Feb-22,"62,301","61,580","62,350","61,580",1.85%
04-Feb-22,"61,172","61,210","61,650","60,552",0.19%
03-Feb-22,"61,059","61,644","61,723","60,327",-1.21%
02-Feb-22,"61,806","61,710","62,090","61,274",0.21%
01-Feb-22,"61,675","61,590","62,480","61,221",0.58%
31-Jan-22,"61,318","61,341","61,844","61,174",0.00%
28-Jan-22,"61,320","62,425","62,457","61,080",-1.45%
27-Jan-22,"62,224","64,001","64,001","62,062",-3.18%
25-Jan-22,"64,270","64,216","64,550","63,880",0.18%
24-Jan-22,"64,155","64,800","65,175","63,757",-1.30%
21-Jan-22,"64,997","65,250","65,540","64,826",-0.84%
20-Jan-22,"65,548","64,620","65,678","64,593",1.48%
19-Jan-22,"64,595","63,320","64,715","63,302",2.10%
18-Jan-22,"63,265","62,367","63,690","61,948",1.74%
17-Jan-22,"62,181","61,911","62,320","61,911",0.46%
14-Jan-22,"61,898","62,300","62,640","61,800",-0.47%
13-Jan-22,"62,191","62,090","62,520","62,024",0.11%
12-Jan-22,"62,121","61,351","62,148","61,280",1.20%
11-Jan-22,"61,382","61,095","61,436","60,944",0.69%
10-Jan-22,"60,962","60,760","61,054","60,562",0.11%
07-Jan-22,"60,895","60,690","61,000","60,313",0.27%
06-Jan-22,"60,732","62,450","62,450","60,532",-2.84%
05-Jan-22,"62,510","62,462","62,825","62,071",0.03%
04-Jan-22,"62,490","61,943","62,619","61,801",0.76%
03-Jan-22,"62,020","62,800","62,892","61,777",-1.41%
31-Dec-21,"62,905","62,550","62,950","62,373",0.75%
30-Dec-21,"62,438","61,851","62,499","61,537",0.52%
29-Dec-21,"62,112","62,723","62,919","61,700",-1.09%
28-Dec-21,"62,796","62,780","63,458","62,610",0.32%
27-Dec-21,"62,596","62,450","62,899","62,001",0.00%
24-Dec-21,"62,594","62,590","62,700","62,481",0.00%
23-Dec-21,"62,592","62,527","62,750","62,127",0.21%
22-Dec-21,"62,463","62,280","62,579","61,882",0.58%
21-Dec-21,"62,102","61,641","62,619","61,550",0.61%
20-Dec-21,"61,724","62,200","62,200","61,477",-1.12%
17-Dec-21,"62,422","62,436","62,720","62,204",0.00%
16-Dec-21,"62,421","60,850","62,531","60,850",3.12%
15-Dec-21,"60,535","60,950","61,300","60,380",-0.96%
14-Dec-21,"61,122","61,700","61,888","60,567",-1.18%
13-Dec-21,"61,852","61,610","62,000","61,460",0.70%
10-Dec-21,"61,420","61,175","61,552","60,630",0.53%
09-Dec-21,"61,096","61,825","62,000","60,717",-1.28%
08-Dec-21,"61,889","62,025","62,236","61,680",-0.34%
07-Dec-21,"62,099","61,600","62,298","61,436",0.87%
06-Dec-21,"61,561","61,886","62,027","61,150",-0.37%
03-Dec-21,"61,789","61,500","61,999","60,925",0.60%
02-Dec-21,"61,423","61,700","61,780","61,055",-0.31%
01-Dec-21,"61,614","62,789","62,922","61,500",-0.50%
30-Nov-21,"61,921","62,250","62,632","61,598",-0.53%
29-Nov-21,"62,254","63,112","63,112","61,756",0.25%
26-Nov-21,"62,101","63,204","63,500","61,863",-1.85%
25-Nov-21,"63,273","63,086","63,850","62,835",1.01%
24-Nov-21,"62,638","62,856","63,000","62,464",0.04%
23-Nov-21,"62,615","64,899","64,937","62,361",-3.30%
22-Nov-21,"64,749","65,687","66,195","64,602",-1.47%
19-Nov-21,"65,713","66,122","66,377","65,403",-0.63%
18-Nov-21,"66,127","66,621","66,684","65,721",-0.96%
17-Nov-21,"66,767","66,547","66,968","66,372",0.59%
16-Nov-21,"66,374","67,000","67,541","66,309",-0.50%
15-Nov-21,"66,705","67,000","67,299","66,455",-0.80%
12-Nov-21,"67,242","67,200","67,477","66,415",0.28%
11-Nov-21,"67,055","66,075","67,121","66,001",1.54%
10-Nov-21,"66,040","64,764","66,884","64,475",1.98%
09-Nov-21,"64,756","65,010","65,240","64,330",-0.42%
